context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	loss	GO:0007275	multicellular organism development	3	AT2G48130;AT4G21060;AT4G24660	5.487	2.13916595896625	0.5467468562055768	0.9313068693130687	9313	9	10000	1.0
CG	loss	GO:0008152	metabolic process	4	AT2G19800;AT2G33380;AT4G21060;AT4G28850	13.6731	2.6893561292621664	0.2925452165200284	1.0	10000	9	10000	1.0
CG	loss	GO:0009987	cellular process	4	AT2G19800;AT2G33380;AT4G21060;AT4G28850	22.4903	2.4030201642932503	0.17785445280854412	1.0	10000	9	10000	1.0
CG	loss	GO:0032501	multicellular organismal process	3	AT2G48130;AT4G21060;AT4G24660	6.0571	2.220864604157578	0.49528652325370226	0.9581041895810419	9581	9	10000	1.0
CG	loss	GO:0032502	developmental process	3	AT2G48130;AT4G21060;AT4G24660	6.4787	2.280733721853563	0.46305585997190796	0.9706029397060294	9706	9	10000	1.0
CG	loss	GO:0044238	primary metabolic process	3	AT2G33380;AT4G21060;AT4G28850	11.8641	2.6139684753263532	0.2528636811894707	1.0	10000	9	10000	1.0
CG	loss	GO:0048731	system development	3	AT2G48130;AT4G21060;AT4G24660	4.2152	1.9211686443412506	0.7117100018978932	0.80991900809919	8099	9	10000	1.0
CG	loss	GO:0048856	anatomical structure development	3	AT2G48130;AT4G21060;AT4G24660	6.321	2.2612295327984735	0.47460844803037494	0.9669033096690332	9669	9	10000	1.0
CG	loss	GO:0160109	plant gross anatomical part developmental process	3	AT2G48130;AT4G21060;AT4G24660	5.0927	2.0887093407173736	0.5890784848901369	0.9014098590140985	9014	9	10000	1.0
CHG	gain	GO:0009987	cellular process	3	AT2G38220;AT5G02370;AT5G06630	24.036	2.4360837424029467	0.12481278082875685	1.0	10000	10	10000	1.0
CHG	loss	GO:0009987	cellular process	3	AT2G33380;AT5G23660;AT5G36180	27.1505	2.575121307822204	0.11049520266661755	1.0	10000	9	10000	1.0
CHH	gain	GO:0003006	developmental process involved in reproduction	3	AT1G67990;AT1G69940;AT5G62165	7.2614	2.5333910160099635	0.413143470956014	0.9819018098190181	9819	32	10000	1.0
CHH	gain	GO:0006139	nucleobase-containing compound metabolic process	3	AT4G18690;AT5G49010;AT5G53660	9.6071	2.8477235803357	0.3122690510143539	0.9973002699730027	9973	32	10000	1.0
CHH	gain	GO:0006355	regulation of DNA-templated transcription	3	AT1G26960;AT5G53660;AT5G62165	7.6367	2.607127367429522	0.39283983919755916	0.9863013698630136	9863	32	10000	1.0
CHH	gain	GO:0006810	transport	4	AT1G65550;AT2G04090;AT2G42005;AT3G54860	10.5117	2.962104506934219	0.3805283636329043	0.9951004899510049	9951	32	10000	1.0
CHH	gain	GO:0006950	response to stress	3	AT1G64790;AT1G69940;AT5G22500	14.1639	3.3538391121221056	0.21180607036197657	1.0	10000	32	10000	1.0
CHH	gain	GO:0006996	organelle organization	3	AT1G24490;AT3G54860;AT5G23120	5.5765	2.244760065129455	0.537971846140052	0.9267073292670733	9267	32	10000	1.0
CHH	gain	GO:0007275	multicellular organism development	7	AT1G13245;AT1G26960;AT1G49005;AT1G67990;AT2G38195;AT5G53660;AT5G62165	12.4138	3.1609127732349687	0.563888575617458	0.9728027197280272	9728	32	10000	1.0
CHH	gain	GO:0008152	metabolic process	8	AT1G67990;AT1G69940;AT2G38195;AT3G60140;AT4G18690;AT5G22500;AT5G49010;AT5G53660	30.9334	4.126301544967365	0.25862013228419767	1.0	10000	32	10000	1.0
CHH	gain	GO:0009058	biosynthetic process	4	AT1G67990;AT4G18690;AT5G22500;AT5G53660	15.1049	3.4450393306898515	0.2648147289952267	0.9999000099990001	9999	32	10000	1.0
CHH	gain	GO:0009628	response to abiotic stimulus	3	AT1G13245;AT5G22500;AT5G53660	9.8648	2.871431865811895	0.3041115886789392	0.9978002199780022	9978	32	10000	1.0
CHH	gain	GO:0009653	anatomical structure morphogenesis	3	AT1G26960;AT1G49005;AT1G69940	5.1174	2.13504502060261	0.5862351975612616	0.8986101389861014	8986	32	10000	1.0
CHH	gain	GO:0009791	post-embryonic development	3	AT1G26960;AT1G67990;AT5G62165	7.3734	2.5386556363555877	0.4068679306697046	0.984001599840016	9840	32	10000	1.0
